region,model,data_mode,order,mae,rmse,mse,wis,int_cov90,int_cov80,int_cov70,int_wid90,int_wid80,int_wid70
me,ARIMA,finalized,"(2, 1, 0)",0.4071654534913184,0.4071654534913184,0.8238165819939195,0.3287192197842798,0.8898305084745762,0.8686440677966102,0.864406779661017,1.9033223944302913,1.4829318270945464,1.199296307121814
mn,TimesFM,versioned,,0.5093634724617004,0.5093635049159244,0.9828534722328186,0.33684268593788147,0.8135593220338984,0.8008474576271186,0.7415254237288136,1.2385605573654175,1.1630526781082153,0.9952791929244995
mn,ARIMA,versioned,"(1, 1, 0)",0.5815800769213989,0.5815800769213989,1.3341825782816803,0.46480525957741975,0.8601694915254238,0.8389830508474576,0.8220338983050848,3.0388567639051747,2.3676584830629266,1.9148041894996473
mn,TimesFM,finalized,,0.41793039441108704,0.41793042074068115,0.6230906248092651,0.23095016181468964,0.8813559322033898,0.8686440677966102,0.7754237288135594,1.3146147727966309,1.2362637519836426,1.0572607517242432
mn,ARIMA,finalized,"(2, 1, 0)",0.49363334815361076,0.49363334815361076,1.0072405711513606,0.38702603773240923,0.923728813559322,0.8940677966101694,0.8432203389830508,3.0148258670865227,2.3489353377722035,1.8996621589662117
ms,TimesFM,versioned,,0.41335529088974,0.4133552951832949,0.36445528268814087,0.23024196922779083,0.8347457627118644,0.826271186440678,0.7584745762711864,1.6818257570266724,1.5812853574752808,1.3515613079071045
ms,ARIMA,versioned,"(2, 1, 0)",0.5447606532992908,0.5447606532992908,0.7256288305405766,0.3844057639725418,0.9915254237288136,0.9576271186440678,0.923728813559322,4.366832795343971,3.4023218319533037,2.7515708639796905
ms,TimesFM,finalized,,0.4928656816482544,0.49286569402379504,0.5023605823516846,0.25368666648864746,0.7584745762711864,0.7415254237288136,0.7076271186440678,1.66645348072052,1.5668927431106567,1.3397144079208374
ms,ARIMA,finalized,"(1, 1, 0)",0.6854665117042031,0.6854665117042031,1.1599044123505418,0.4538839923036023,0.940677966101695,0.885593220338983,0.8432203389830508,4.382529187225953,3.4145513308340267,2.7614612666115756
mo,TimesFM,versioned,,0.4375811815261841,0.4375811829468456,0.7253831028938293,0.24887314438819885,0.847457627118644,0.826271186440678,0.7457627118644068,1.4309738874435425,1.3364930152893066,1.138130784034729
mo,ARIMA,versioned,"(2, 1, 0)",0.47406145626484414,0.47406145626484414,1.310192487776234,0.46463846524136493,0.9703389830508474,0.9491525423728814,0.9279661016949152,4.913992969246858,3.828629660187547,3.0963401883390986
mo,TimesFM,finalized,,0.36698898673057556,0.36698895995899783,0.42757707834243774,0.19329071044921875,0.847457627118644,0.826271186440678,0.7542372881355932,1.3799611330032349,1.2888216972351074,1.0971544981002808
mo,ARIMA,finalized,"(2, 1, 0)",0.4804685538345268,0.4804685538345268,0.9250220007465388,0.4319181996241257,0.9533898305084746,0.9449152542372882,0.9194915254237288,4.918800092500134,3.8323750246564945,3.099369189196971
nv,TimesFM,versioned,,0.4076191484928131,0.40761915379661623,0.32068899273872375,0.22773468494415283,0.7076271186440678,0.690677966101695,0.6313559322033898,1.1807559728622437,1.1055755615234375,0.94899982213974
nv,ARIMA,versioned,"(1, 1, 0)",0.45768281577975933,0.45768281577975933,0.42070581197363965,0.26285926709081486,0.8389830508474576,0.7669491525423728,0.673728813559322,1.6664292143557144,1.298361710448921,1.0500283129674015
nv,TimesFM,finalized,,0.37165042757987976,0.3716504436175702,0.29738345742225647,0.20730137825012207,0.7796610169491526,0.7457627118644068,0.6694915254237288,1.0928466320037842,1.0224976539611816,0.8770800828933716
nv,ARIMA,finalized,"(2, 1, 0)",0.39056510865121846,0.39056510865121846,0.30700954410243925,0.221433171278299,0.8940677966101694,0.8305084745762712,0.7584745762711864,1.6864953777815774,1.3139958208229539,1.0626721381885844
nj,TimesFM,versioned,,0.4587887227535248,0.4587887078523636,1.3296728134155273,0.28385841846466064,0.8050847457627118,0.7966101694915254,0.7161016949152542,1.421255111694336,1.3347896337509155,1.1360046863555908
nj,ARIMA,versioned,"(1, 1, 0)",0.5501181129435904,0.5501181129435904,1.5034220544185328,0.47000656975501187,0.9576271186440678,0.940677966101695,0.923728813559322,4.452658214045996,3.469190821326513,2.805650040480597
nj,TimesFM,finalized,,0.5365828275680542,0.5365828409538431,1.503478765487671,0.31572598218917847,0.7838983050847458,0.7711864406779662,0.6949152542372882,1.4803712368011475,1.3915966749191284,1.1850192546844482
nj,ARIMA,finalized,"(2, 1, 0)",0.9102226773495607,0.9102226773495607,3.9878884652942146,0.6972601863988932,0.9067796610169492,0.8601694915254238,0.8347457627118644,4.4641139289085165,3.4781162898763838,2.812868363855695
